entity_id,state,last_changed
sensor.lounge_airq_pm_10,5.075004983083333,2024-09-18T21:00:00.000Z
sensor.lounge_airq_pm_10,5.131297042555556,2024-09-18T22:00:00.000Z
sensor.lounge_airq_pm_10,4.564366062444445,2024-09-18T23:00:00.000Z
sensor.lounge_airq_pm_10,4.273422681416666,2024-09-19T00:00:00.000Z
sensor.lounge_airq_pm_10,4.135757191166666,2024-09-19T01:00:00.000Z
sensor.lounge_airq_pm_10,3.1551578725555554,2024-09-19T02:00:00.000Z
sensor.lounge_airq_pm_10,2.860420992694445,2024-09-19T03:00:00.000Z
sensor.lounge_airq_pm_10,2.6185798364444444,2024-09-19T04:00:00.000Z
sensor.lounge_airq_pm_10,2.358808954138889,2024-09-19T05:00:00.000Z
sensor.lounge_airq_pm_10,2.3009810803611113,2024-09-19T06:00:00.000Z
sensor.lounge_airq_pm_10,2.359619827361111,2024-09-19T07:00:00.000Z
sensor.lounge_airq_pm_10,2.353278819972222,2024-09-19T08:00:00.000Z
sensor.lounge_airq_pm_10,2.27522935425,2024-09-19T09:00:00.000Z
sensor.lounge_airq_pm_10,1.8568541178112108,2024-09-19T10:00:00.000Z
sensor.lounge_airq_pm_10,1.5587631538148428,2024-09-19T11:00:00.000Z
sensor.lounge_airq_pm_10,9.77437358894245,2024-09-24T10:00:00.000Z
sensor.lounge_airq_pm_10,10.369630004259259,2024-09-24T11:00:00.000Z
sensor.lounge_airq_pm_10,13.350317004492283,2024-09-24T14:00:00.000Z
sensor.lounge_airq_pm_10,15.969321789207187,2024-09-24T15:00:00.000Z
sensor.lounge_airq_pm_10,15.80036483695672,2024-09-24T16:00:00.000Z
sensor.lounge_airq_pm_10,15.586503481456983,2024-09-24T17:00:00.000Z
sensor.lounge_airq_pm_10,15.628603952111112,2024-09-24T18:00:00.000Z
sensor.lounge_airq_pm_10,16.393848809583332,2024-09-24T19:00:00.000Z
sensor.lounge_airq_pm_10,16.551734521305555,2024-09-24T20:00:00.000Z
sensor.lounge_airq_pm_10,17.24706034172222,2024-09-24T21:00:00.000Z
sensor.lounge_airq_pm_10,17.517679917861113,2024-09-24T22:00:00.000Z
sensor.lounge_airq_pm_10,18.293521112444445,2024-09-24T23:00:00.000Z
sensor.lounge_airq_pm_10,18.360074792138892,2024-09-25T00:00:00.000Z
sensor.lounge_airq_pm_10,16.88733516272222,2024-09-25T01:00:00.000Z
sensor.lounge_airq_pm_10,15.48326830711111,2024-09-25T02:00:00.000Z
sensor.lounge_airq_pm_10,14.346812820166667,2024-09-25T03:00:00.000Z
sensor.lounge_airq_pm_10,13.988617947972223,2024-09-25T04:00:00.000Z
sensor.lounge_airq_pm_10,14.274387104111112,2024-09-25T05:00:00.000Z
sensor.lounge_airq_pm_10,17.24811452425,2024-09-25T06:00:00.000Z
sensor.lounge_airq_pm_10,11.407584756,2024-09-25T07:00:00.000Z
sensor.lounge_airq_pm_10,10.004865147333334,2024-09-25T08:00:00.000Z
sensor.lounge_airq_pm_10,7.048412741666666,2024-09-25T16:00:00.000Z
sensor.lounge_airq_pm_10,9.487899859416666,2024-09-25T19:00:00.000Z
