entity_id,state,last_changed,local_ts,hour,night_date
sensor.lounge_airq_sen55_temperature,27,2024-09-18 21:00:00+00:00,2024-09-19 00:00:00+03:00,0,2024-09-18
sensor.lounge_airq_sen55_temperature,27,2024-09-18 22:00:00+00:00,2024-09-19 01:00:00+03:00,1,2024-09-18
sensor.lounge_airq_sen55_temperature,27,2024-09-18 23:00:00+00:00,2024-09-19 02:00:00+03:00,2,2024-09-18
sensor.lounge_airq_sen55_temperature,27,2024-09-19 00:00:00+00:00,2024-09-19 03:00:00+03:00,3,2024-09-18
sensor.lounge_airq_sen55_temperature,26,2024-09-19 01:00:00+00:00,2024-09-19 04:00:00+03:00,4,2024-09-18
sensor.lounge_airq_sen55_temperature,26,2024-09-19 02:00:00+00:00,2024-09-19 05:00:00+03:00,5,2024-09-18
sensor.lounge_airq_sen55_temperature,26,2024-09-19 03:00:00+00:00,2024-09-19 06:00:00+03:00,6,2024-09-18
sensor.lounge_airq_sen55_temperature,26,2024-09-24 19:00:00+00:00,2024-09-24 22:00:00+03:00,22,2024-09-24
sensor.lounge_airq_sen55_temperature,26,2024-09-24 20:00:00+00:00,2024-09-24 23:00:00+03:00,23,2024-09-24
sensor.lounge_airq_sen55_temperature,26,2024-09-24 21:00:00+00:00,2024-09-25 00:00:00+03:00,0,2024-09-24
sensor.lounge_airq_sen55_temperature,26,2024-09-24 22:00:00+00:00,2024-09-25 01:00:00+03:00,1,2024-09-24
sensor.lounge_airq_sen55_temperature,26,2024-09-24 23:00:00+00:00,2024-09-25 02:00:00+03:00,2,2024-09-24
sensor.lounge_airq_sen55_temperature,26,2024-09-25 00:00:00+00:00,2024-09-25 03:00:00+03:00,3,2024-09-24
sensor.lounge_airq_sen55_temperature,26,2024-09-25 01:00:00+00:00,2024-09-25 04:00:00+03:00,4,2024-09-24
sensor.lounge_airq_sen55_temperature,26,2024-09-25 02:00:00+00:00,2024-09-25 05:00:00+03:00,5,2024-09-24
sensor.lounge_airq_sen55_temperature,26,2024-09-25 03:00:00+00:00,2024-09-25 06:00:00+03:00,6,2024-09-24
